Date,X.1,Brazil,Chile,China,Denmark,France,Germany,India,Israel,Italy,Mexico,Russia,X.2,UAE,UK,US
30/08/2021,null,28.7,70.65,61.59,71.94,59.24,60.06,10.49,59.12,60.58,25.81,24.91,null,74.24,62.74,52.37
31/08/2021,null,28.7,71.15,61.59,72.24,59.74,60.23,10.61,59.19,60.88,26.04,25,null,74.24,62.91,52.49
01/09/2021,null,29.68,71.33,61.59,72.42,60.16,60.43,10.9,59.26,61.18,26.32,25.53,null,76.03,63.08,52.61
02/09/2021,null,30.14,71.45,61.59,72.59,60.53,60.6,11.06,59.33,61.48,26.61,25.67,null,76.03,63.25,52.72
03/09/2021,null,30.14,71.55,61.59,72.75,60.97,60.76,11.19,59.38,61.78,26.61,26.06,null,76.32,63.41,52.86
04/09/2021,null,30.66,71.55,61.59,72.87,61.29,60.84,11.25,59.4,61.98,27.2,26.13,null,76.52,63.6,52.94
05/09/2021,null,31.1,71.55,61.59,72.97,61.36,60.89,11.42,59.47,62.12,27.35,26.26,null,76.52,63.71,52.99
06/09/2021,null,31.49,71.87,67.15,73.14,61.63,60.99,11.53,59.5,62.42,27.49,26.3,null,76.72,63.83,53.02
07/09/2021,null,31.49,72.2,67.15,73.27,61.9,61.13,11.75,59.5,62.73,27.78,26.58,null,77.11,63.95,53.16
08/09/2021,null,31.96,72.29,67.15,73.39,62.2,61.3,11.99,59.52,63.03,27.78,26.66,null,77.11,64.08,53.27
09/09/2021,null,32.59,72.35,67.15,73.5,62.45,61.46,12.22,59.65,63.35,28.3,26.88,null,77.61,64.22,53.39
10/09/2021,null,33.35,72.4,67.15,73.63,62.75,61.62,12.28,59.7,63.66,29.3,27.05,null,77.91,64.36,53.53
11/09/2021,null,33.95,72.4,67.15,73.73,63,61.7,12.52,59.73,63.88,29.77,27.13,null,78.2,64.5,53.62
12/09/2021,null,34.02,72.4,67.15,73.81,63.05,61.75,12.7,59.82,64.02,29.99,27.2,null,78.3,64.58,53.67
13/09/2021,null,34.02,72.61,67.15,73.93,63.24,61.86,12.94,59.91,64.33,30.19,27.3,null,78.5,64.67,53.78
14/09/2021,null,35.26,72.82,67.15,74.02,63.43,62.01,12.99,59.99,64.61,30.59,27.35,null,78.8,64.77,53.89
15/09/2021,null,35.86,72.9,70.04,74.12,63.68,62.19,13.24,60.02,64.87,31.12,27.51,null,79.19,64.86,54
16/09/2021,null,36.48,72.94,70.04,74.2,63.85,62.36,13.53,60.02,65.12,31.47,27.66,null,79.49,64.95,54.11
17/09/2021,null,36.48,72.94,70.04,74.29,64.08,62.53,13.73,60.1,65.36,31.56,27.77,null,79.79,65.04,54.25
18/09/2021,null,37.08,72.94,70.78,74.35,64.29,62.62,14.27,60.13,65.56,31.83,27.77,null,80.18,65.15,54.33
19/09/2021,null,37.62,72.94,70.78,74.4,64.33,62.67,14.54,60.24,65.69,32.01,28.05,null,80.28,65.2,54.38
20/09/2021,null,37.66,73.07,70.78,74.51,64.46,62.78,14.76,60.29,65.97,32.18,28.08,null,80.38,65.27,54.48
21/09/2021,null,38.45,73.19,70.78,74.59,64.61,62.92,15.03,60.31,66.24,32.4,28.13,null,80.78,65.33,54.58
22/09/2021,null,38.45,73.29,70.78,74.66,64.82,63.09,15.19,60.39,66.49,32.79,28.29,null,80.98,65.4,54.67
23/09/2021,null,39.84,73.35,70.78,74.72,64.95,63.26,15.5,60.45,66.71,33.2,28.29,null,81.17,65.46,54.77
24/09/2021,null,39.84,73.4,70.78,74.78,65.15,63.42,15.81,60.5,66.93,33.64,28.48,null,81.47,65.53,54.89
25/09/2021,null,40.23,73.4,70.78,74.82,65.32,63.5,15.97,60.52,67.12,33.99,28.55,null,81.77,65.6,54.95
26/09/2021,null,40.69,73.4,70.78,74.87,65.35,63.54,16.09,60.59,67.23,34.17,28.58,null,81.77,65.63,54.99
27/09/2021,null,41.12,73.49,70.78,74.93,65.46,63.64,16.47,60.63,67.44,34.26,28.65,null,81.87,65.68,55.06
28/09/2021,null,41.58,73.6,72.56,74.98,65.57,63.78,16.61,60.65,67.63,34.47,28.67,null,82.16,65.73,55.15
29/09/2021,null,41.58,73.66,72.56,75.04,65.72,63.93,16.82,60.73,67.8,34.76,28.82,null,82.46,65.78,55.23
30/09/2021,null,42.46,73.71,72.56,75.09,65.82,64.08,17.04,60.83,67.97,34.99,28.93,null,82.56,65.83,55.33
01/10/2021,null,42.46,73.75,72.56,75.13,65.97,64.16,17.26,60.87,68.12,34.99,29.01,null,82.86,65.88,55.43
02/10/2021,null,42.46,73.75,72.56,75.16,66.08,64.18,17.51,60.89,68.24,35.16,29.11,null,82.86,65.93,55.49
03/10/2021,null,43.9,73.75,72.56,75.17,66.1,64.19,17.68,60.97,68.32,35.16,29.15,null,83.15,65.96,55.53
04/10/2021,null,43.9,73.83,72.56,75.2,66.19,64.25,17.86,61.04,68.46,35.36,29.19,null,83.35,66.01,55.6
05/10/2021,null,44.27,73.91,72.56,75.24,66.28,64.35,18.09,61.1,68.58,35.36,29.31,null,83.55,66.05,55.67
06/10/2021,null,44.54,73.95,72.56,75.28,66.4,64.47,18.27,61.14,68.7,35.55,29.68,null,83.75,66.09,55.75
07/10/2021,null,45.03,73.98,72.56,75.32,66.49,64.59,18.39,61.18,68.81,36.07,30.67,null,83.95,66.13,55.82
08/10/2021,null,45.62,74.01,72.56,75.35,66.62,64.7,18.66,61.21,68.93,36.61,30.76,null,84.14,66.18,55.91
09/10/2021,null,46.1,74.01,72.56,75.38,66.71,64.73,18.93,61.22,69.05,36.98,30.8,null,84.34,66.22,55.96
10/10/2021,null,46.54,74.01,72.56,75.39,66.72,64.74,19.21,61.26,69.12,36.98,30.86,null,84.34,66.25,55.99
11/10/2021,null,46.54,74.01,72.56,75.42,66.8,64.79,19.35,61.3,69.26,37.22,30.91,null,84.34,66.29,56.05
12/10/2021,null,46.54,74.36,72.56,75.46,66.88,64.89,19.57,61.33,69.4,37.52,30.91,null,84.34,66.33,56.11
13/10/2021,null,46.54,74.63,72.56,75.49,66.97,65,19.73,61.35,69.54,37.52,31.05,null,84.83,66.37,56.18
14/10/2021,null,47.03,74.8,72.56,75.52,67.05,65.11,19.82,61.38,69.68,38.07,31.09,null,84.94,66.41,56.24
15/10/2021,null,49.15,74.9,72.56,75.55,67.16,65.21,19.93,61.4,69.83,38.07,31.32,null,85.13,66.45,56.32
16/10/2021,null,49.15,74.9,72.56,75.57,67.22,65.23,20,61.41,69.96,38.07,31.32,null,85.13,66.5,56.36
17/10/2021,null,49.65,74.9,72.56,75.58,67.23,65.24,20.15,61.44,70.04,38.98,31.32,null,85.33,66.53,56.39
18/10/2021,null,49.7,75.15,72.56,75.6,67.29,65.29,20.26,61.45,70.18,39.38,31.32,null,85.43,66.56,56.45
19/10/2021,null,50.48,75.43,72.56,75.62,67.35,65.38,20.6,61.47,70.31,39.55,31.32,null,85.63,66.61,56.5
20/10/2021,null,50.48,75.75,72.56,75.65,67.43,65.48,20.92,61.49,70.43,39.74,31.32,null,85.73,66.65,56.56
21/10/2021,null,50.88,76,72.56,75.67,67.49,65.58,21.07,61.52,70.55,40.01,31.32,null,85.83,66.69,56.61
22/10/2021,null,51.56,76.29,72.56,75.7,67.59,65.66,21.35,61.54,70.67,40.3,31.32,null,85.83,66.73,56.68
23/10/2021,null,53.63,76.3,73.92,75.71,67.65,65.69,21.5,61.55,70.77,40.65,31.32,null,85.83,66.77,56.72
24/10/2021,null,53.97,76.3,73.92,75.72,67.65,65.7,21.86,61.58,70.82,41.06,31.32,null,86.02,66.8,56.74
25/10/2021,null,53.97,76.71,73.92,75.74,67.7,65.75,21.94,61.61,70.93,41.34,31.32,null,86.02,66.83,56.8
26/10/2021,null,54.3,77.2,73.92,75.77,67.76,65.84,22.23,61.63,71.03,41.98,31.32,null,86.12,66.86,56.86
27/10/2021,null,55.27,77.73,73.92,75.8,67.82,65.94,22.47,61.66,71.12,41.98,31.32,null,86.22,66.9,56.92
28/10/2021,null,55.27,78.25,73.92,75.83,67.87,66.04,22.74,61.69,71.22,41.98,32.3,null,86.42,66.93,56.98
29/10/2021,null,55.27,78.73,74.12,75.85,67.95,66.13,23.15,61.7,71.33,42.95,32.37,null,86.52,66.96,57.04
30/10/2021,null,55.27,78.75,null,75.87,68,66.15,23.44,61.7,71.41,46.34,32.53,null,86.62,67,57.08
31/10/2021,null,56.43,78.75,null,75.88,68,66.16,23.62,61.73,71.45,46.5,32.62,null,86.82,67.02,57.1
01/11/2021,null,56.43,78.76,null,75.9,68.01,66.18,23.83,61.75,71.48,46.54,32.68,null,86.91,67.05,57.15
02/11/2021,null,56.43,79.24,null,75.92,68.07,66.26,23.92,61.77,71.59,46.54,32.86,null,87.01,67.08,57.21
03/11/2021,null,56.43,79.7,null,75.95,68.14,66.35,24.15,61.79,71.69,46.61,33.04,null,87.11,67.11,57.26
04/11/2021,null,56.43,80.13,null,75.97,68.19,66.44,24.24,61.82,71.79,46.86,33.8,null,87.21,67.14,57.31
05/11/2021,null,56.43,80.49,null,75.99,68.27,66.52,24.27,61.83,71.9,46.86,33.8,null,87.31,67.17,57.38
06/11/2021,null,56.43,80.51,null,76.01,68.32,66.54,24.39,61.84,71.98,46.86,33.8,null,87.41,67.2,57.41
07/11/2021,null,56.43,80.52,null,76.01,68.33,66.55,24.54,61.85,72.02,47.72,33.98,null,87.51,67.23,57.43
08/11/2021,null,57.56,80.74,null,76.03,68.39,66.59,24.79,61.87,72.12,47.8,34.02,null,87.61,67.26,57.48
09/11/2021,null,57.56,81.05,null,76.06,68.45,66.68,24.99,61.89,72.2,47.8,34.22,null,87.71,67.29,57.53
10/11/2021,null,58.25,81.34,null,76.1,68.53,66.77,25.28,61.9,72.29,48.12,34.35,null,87.81,67.36,57.57
11/11/2021,null,58.97,81.63,null,76.12,68.54,66.86,25.54,61.92,72.37,48.27,34.56,null,87.91,67.39,57.62
12/11/2021,null,58.97,81.88,null,76.16,68.63,66.93,26,61.93,72.46,48.27,34.67,null,88.2,67.42,57.67
13/11/2021,null,58.97,81.9,null,76.18,68.68,66.95,26.39,61.94,72.52,48.27,34.95,null,88.2,67.46,57.7
14/11/2021,null,59.75,81.9,null,76.19,68.68,66.97,26.57,61.95,72.56,48.64,35.08,null,88.2,67.48,57.72
15/11/2021,null,59.75,82.14,null,76.22,68.74,67.01,26.77,61.97,72.63,48.67,35.21,null,88.4,67.51,57.76
16/11/2021,null,59.81,82.38,null,76.25,68.81,67.09,27.1,61.98,72.7,48.68,35.45,null,null,67.54,57.8
17/11/2021,null,60.04,82.6,null,76.28,68.89,67.18,27.47,62,72.76,48.74,35.8,null,null,67.57,57.85
18/11/2021,null,null,82.8,null,76.31,68.95,67.26,27.86,62.02,72.84,48.89,35.99,null,null,67.6,57.89
19/11/2021,null,null,82.96,null,null,null,67.34,28.09,62.03,72.9,48.89,36.2,null,null,67.63,57.92
20/11/2021,null,null,82.97,null,null,null,67.37,28.59,62.03,72.95,49.23,36.72,null,null,67.67,57.92
21/11/2021,null,null,null,null,null,null,67.38,28.78,62.04,72.98,49.32,null,null,null,null,57.92
